cite,question_id,question,choices,answer,chapter
"공단의 법률 구조를 받기 위해서는 우선 공단사무실을 방문하여 상담을 받아야 하는데, 이때 자신이 가지고 있는 관련 서류를 모두 가지고 오는 것이 좋다.",568,공단의 법률 구조를 받기 위해 먼저 해야 하는 것은 무엇인가?,"1. A. 공단사무실 방문
2. B. 관련 서류 준비
3. C. 소송 제기
4. D. 변호사 상담
",A. 공단사무실 방문,35.0
따라서 가급적 재판까지 가지 않고 당사자 간의 대화와 타협으로 원만하게 문제를 해결하려고 노력하는 것이 바람직하다.,569,분쟁 해결에 있어 가장 바람직한 방법은 무엇인가?,"1. A. 재판
2. B. 변호사 상담
3. C. 당사자 간의 대화와 타협
4. D. 국가에 항의
",C. 당사자 간의 대화와 타협,35.0
"법률이나 소송관련 상담은 누구나 무료로 받을 수 있으며, 나아가 한국어에 서툴러 소송에 어려움을 겪고 있는 외국인이라면 민사나 형사 등의 사건소송 대리까지도 도움 받을 수 있다.",570,법률이나 소송관련 상담은 누구에게 제공되는 서비스인가?,"1. 한국인만
2. 외국인만
3. 누구나
4. 한국어를 유창하게 구사하는 사람만
",누구나,35.0
"공단의 법률 구조를 받기 위해서는 우선 공단사무실을 방문하여 상담을 받아야 하는데, 이때 자신이 가지고 있는 관련 서류를 모두 가지고 오는 것이 좋다.",571,공단의 법률 구조를 받기 위해 필요한 절차는 무엇인가?,"1. 공단사무실 방문 및 상담
2. 서류 제출
3. 온라인 신청
4. 전화 상담
",공단사무실 방문 및 상담,35.0
국가인권위원회는 모든 사람들이 갖는 기본적인 인권을 보호하기 위한 국가기관 이다.,572,국가인권위원회의 주요 역할은 무엇인가?,"1. 기본적인 인권 보호
2. 법률 상담 제공
3. 소비자 권리 보호
4. 외국인 지원
",기본적인 인권 보호,35.0
국민권익위원회는 부패 방지 및 국민의 권익 보호와 구제를 위한 국가기관이다.,573,국민권익위원회의 주요 역할은 무엇인가?,"1. 기본적인 인권 보호
2. 법률 상담 제공
3. 부패 방지 및 국민의 권익 보호와 구제
4. 외국인 지원
",부패 방지 및 국민의 권익 보호와 구제,35.0
"한편, 최근에는 소비자가 물건을 사거나 서비스를 이용하는 과정에서 부당한 피해를 입는 경우도 자주 발생하고 있다.",574,최근 소비자들이 부당한 피해를 입는 주요 원인은 무엇인가?,"1. 물건 구매 또는 서비스 이용 과정
2. 외국인에 대한 차별
3. 국가기관의 잘못
4. 법률 상담 부족
",물건 구매 또는 서비스 이용 과정,35.0
한국소비자원에서는 소비자를 대신해서 판매자를 상대로 소비자의 권리를 지켜주는 활동을 하고 있다.,575,한국소비자원의 주요 역할은 무엇인가?,"1. 기본적인 인권 보호
2. 법률 상담 제공
3. 소비자의 권리를 지키는 활동
4. 외국인 지원
",소비자의 권리를 지키는 활동,35.0
특별히 이민자나 외국인의 권리를 보호하고 도움을 주기 위한 전문적인 기관들도 존재 한다.,576,이민자나 외국인의 권리를 보호하고 도움을 주는 기관들이 존재하는가?,"1. 예
2. 아니오
3. 모름
4. 해당 없음
",예,35.0
각 지역에는 이민자나 외국인을 위한 지원센터 등과 같은 단체들이 많이 활동,577,이민자나 외국인을 위한 지원센터는 어디에 위치하고 있는가?,"1. 각 지역
2. 서울만
3. 부산만
4. 해외
",각 지역,35.0
국민권익위원회는 부패 방지 및 국민의 권익 보호와 구제를 위한 국가기관이다.,578,국민권익위원회는 어떤 문제를 방지하는 데 초점을 맞추고 있는가?,"1. 범죄
2. 부패
3. 차별
4. 소비자 피해
",부패,35.0
인권 침해 사실이 있다고 판단될 경우 국가인권위원회는 인권을 침해한 당사자에게 문제를 개선하도록 권고한다.,579,인권 침해 사실이 판단될 경우 국가인권위원회는 어떤 조치를 취하는가?,"1. 문제를 개선하도록 권고
2. 법적 처벌
3. 당사자를 해고
4. 사건을 무시
",문제를 개선하도록 권고,35.0
법은 지켜야 한다 우리는 횡단보도를 건널 때 신호등을 쳐다본다.,1000,우리가 횡단보도를 건널 때 쳐다보는 것은 무엇인가?,"1. 차
2. 신호등
3. 도로
4. 사람
",신호등,36.0
만약 신호등이 없거나 신호를 지키지 않는다면 어떻게 될까?,1001,신호등이 없거나 신호를 지키지 않을 경우 어떤 결과가 발생할 수 있는가?,"1. 교통사고 발생
2. 신호등 고장
3. 차량 고장
4. 도로 통행료 인상
",교통사고 발생,36.0
법은 모든 사람들이 안전하고 공정한 사회에서 생활하기 위해 만들어 놓은 약속이라고 할 수 있다.,1002,법은 모든 사람들이 어떤 사회에서 생활하기 위해 만들어 놓은 약속인가?,"1. 자유로운 사회
2. 평등한 사회
3. 안전하고 공정한 사회
4. 경제적으로 풍요로운 사회
",안전하고 공정한 사회,36.0
국민들은 법을 잘 지킴으로써 사회질서를 유지하고 안전하게 살아갈 수 있다.,1003,국민들이 법을 잘 지키면 어떤 이점이 있는가?,"1. 사회질서 유지와 안전하게 살 수 있다
2. 법적 처벌을 피할 수 있다
3. 정치적 권력을 얻을 수 있다
4. 경제적 이익을 얻을 수 있다
",사회질서 유지와 안전하게 살 수 있다,36.0
물론 한국에서 생활하는 외국인도 법을 잘 지켜야 한다.,1004,한국에서 생활하는 외국인도 어떤 행동을 해야하는가?,"1. 한국어를 배워야 한다
2. 법을 잘 지켜야 한다
3. 한국 음식을 먹어야 한다
4. 한복을 입어야 한다
",법을 잘 지켜야 한다,36.0
법을 지킴으로써 스스로의 권리와 다른 사람의 권리를 더 잘 보장할 수 있다는 것도 기억해야 한다.,1005,법을 지키면 어떤 것을 더 잘 보장할 수 있는가?,"1. 자신의 권리와 다른 사람의 권리
2. 자신의 이익
3. 자신의 안전
4. 자신의 자유
",자신의 권리와 다른 사람의 권리,36.0
"내 손안의 변호사, 무료 앱 ‘법아! 알려줘’",1006,법에 관한 정보를 제공하는 무료 앱의 이름은 무엇인가?,"1. 법아! 알려줘
2. 법률가이드
3. 법률정보
4. 법률사전
",법아! 알려줘,36.0
"법률문제에 직면할 때마다 변호사 도움을 받기도 어렵고, 그렇다고 어려운 법률서적을 찾기도 곤란한 국민들의 어려움을 해소하고, 법률분쟁을 사전에 예방할 수 있도록, 법무부에서는 생활법률 정보를",1007,법률문제에 직면할 때 어려움을 해소하고 법률분쟁을 사전에 예방하기 위해 어떤 기관에서 생활법률 정보를 제공하는가?,"1. 경찰청
2. 법무부
3. 국회
4. 대법원
",법무부,36.0
법을 정하는 것도 중요하지만 정해진 법을 잘 지키는 것 역시 중요하다.,1008,법을 정하는 것과 무엇이 중요하다고 말하는가?,"1. 법을 잘 지키는 것
2. 법을 잘 알고 있는 것
3. 법을 잘 만드는 것
4. 법을 잘 바꾸는 것
",법을 잘 지키는 것,36.0
좋은 법이 있다고 해도 사람들이 지키지 않는다면 그 법은 아무런 기능을 할 수 없기 때문 이다.,1009,사람들이 법을 지키지 않으면 법은 어떤 상태가 되는가?,"1. 아무런 기능을 할 수 없는 상태
2. 법이 바뀌는 상태
3. 법이 강화되는 상태
4. 법이 약화되는 상태
",아무런 기능을 할 수 없는 상태,36.0
로서 대한민국 국민이 또는 때로는 외국인도 청구할 수 있다.,1020,누가 한국에서 권리를 청구할 수 있는가?,"1. 대한민국 국민만
2. 외국인만
3. 대한민국 국민과 외국인 모두
4. 아무도 청구할 수 없다
",대한민국 국민과 외국인 모두,36.0
한국에서 생활하는 외국인이나 이민자도 스스로의 권리를 적극적으로 실현하기 위해 법이 만들어지는 과정과 법의 내용에 관심을 가질 필요가 있다.,1021,외국인이나 이민자가 한국에서 권리를 실현하기 위해 어떤 것에 관심을 가질 필요가 있는가?,"1. 법이 만들어지는 과정과 법의 내용
2. 한국어 학습
3. 한국의 문화와 역사
4. 한국의 경제 상황
",법이 만들어지는 과정과 법의 내용,36.0
보다 많은 사람들의 의견 제시와 참여를 통해 지속적으로 좋은 법이 만들어질 때 한국 사회는 보다 정의로운 사회가 될 수 있을 것이다.,1022,한국 사회가 보다 정의로운 사회가 되기 위해 필요한 것은 무엇인가?,"1. 경제적인 성장
2. 국제적인 인정
3. 사람들의 의견 제시와 참여
4. 정부의 강력한 지도
",사람들의 의견 제시와 참여,36.0
정의의 여신상 서울특별시 서초구 서초동에 있는 대법원에는 정의의 여신 상이 있다.,1023,정의의 여신상이 위치한 곳은 어디인가?,"1. 서울특별시 서초구 서초동 대법원
2. 서울특별시 종로구 대법원
3. 서울특별시 강남구 대법원
4. 서울특별시 중구 대법원
",서울특별시 서초구 서초동 대법원,36.0
정의의 여신상은 오늘날 한국의 법이 추구하는 모습을 상징하고 있다.,1024,정의의 여신상은 무엇을 상징하는가?,"1. 한국의 법이 추구하는 모습
2. 한국의 경제적인 성장
3. 한국의 문화적인 다양성
4. 한국의 국제적인 인정
",한국의 법이 추구하는 모습,36.0
"정의의 여신상은 한 손에는 저울을, 다른 한 손에는 법전을 들고 있으며, 두 눈을 뜨고 있다.",1025,정의의 여신상이 들고 있는 물건은 무엇인가?,"1. 저울과 법전
2. 검과 방패
3. 왕관과 지팡이
4. 피리와 북
",저울과 법전,36.0
"법전은 누구나 법에 따라 공정하게 재판한다는 것을 뜻하며, 저울은 각 사람의 권리나 잘잘못을 올바르게 판단하겠다는 뜻이다.",1026,정의의 여신상이 들고 있는 법전과 저울은 각각 무엇을 상징하는가?,"1. 법전은 공정한 재판, 저울은 올바른 판단
2. 법전은 권력, 저울은 균형
3. 법전은 지식, 저울은 지혜
4. 법전은 규칙, 저울은 선택
","법전은 공정한 재판, 저울은 올바른 판단",36.0
그리고 두 눈을 뜨고 있는 것은 사회적 약자를 적극적으로 돕겠다는 의미를 담고 있다.,1027,정의의 여신상이 두 눈을 뜨고 있는 것은 무엇을 의미하는가?,"1. 사회적 약자를 적극적으로 돕겠다는 의미
2. 법의 공정함을 감시하겠다는 의미
3. 모든 사람을 공평하게 보겠다는 의미
4. 사람들의 의견을 경청하겠다는 의미
",사회적 약자를 적극적으로 돕겠다는 의미,36.0
한국에서 생활하는 외국인이나 이민자도 스스로의 권리를 적극적으로 실현하기 위해 법이 만들어지는 과정과 법의 내용에 관심을 가질 필요가 있다.,1028,외국인이나 이민자가 스스로의 권리를 실현하기 위해 필요한 것은 무엇인가?,"1. 법이 만들어지는 과정과 법의 내용에 대한 이해
2. 한국어의 완벽한 이해
3. 한국의 역사와 문화에 대한 이해
4. 한국의 경제적 상황에 대한 이해
",법이 만들어지는 과정과 법의 내용에 대한 이해,36.0
보다 많은 사람들의 의견 제시와 참여를 통해 지속적으로 좋은 법이 만들어질 때 한국 사회는 보다 정의로운 사회가 될 수 있을 것이다.,1029,한국 사회가 보다 정의로운 사회가 되려면 어떤 것이 필요한가?,"1. 사람들의 의견 제시와 참여
2. 정부의 강력한 지도
3. 경제적인 성장
4. 국제적인 인정
",사람들의 의견 제시와 참여,36.0
